Sentence,Label
扔块肉在手机上，狗都比你会连招。,1
吃着早餐、看着蛮子大叔翘着腿发微博我在#上海龙之梦丽晶大酒店#,0
笑死，之前有火锅店只招待女生和被女生带来的男宝，还被投诉整改了。,1
我们的周末农庄，可以不抽烟吃有机,0
完成第一个任务，买了一袋苹果,0
SB学校,1
吴晓波有深度哈哈，很高兴看到老师的这期节目又再一次被网友推荐！这期节目也是我很喜欢的一期。,0
努力做好信息沉淀，老黑不能输给蛋蛋！,0
哇，太可爱太可爱了!!!必须不能啊哟～跟小娃娃似的～这半岁满岁去照相馆的传统不能丢啊～,0
你长！！！的外!形不准，555比例没打好,1
精辟！结论：教育很重要,0
好书法！各位好友。赵老师大观园个展哦。转起来,0
md，猴年马月了还有手机保这种破玩意，还tm想首飞用。,1
歧视黄种人，犹太人，歧视国人,1
【#黄金100秒#走进天津】大家都很棒我在这里:,0
7.配音极度恶心的（你们懂得…呕） 这个超级支持！还所谓的什么萌妹音、小奶狗音、御姐音、老北京腔……,1
一直很歧视黑人！,1
这才是我亲嫂子,0
不是重庆人不要去给外地人推荐重庆的火锅，刘一手，秦妈这些垃圾味道的火锅推荐给别人就是坏了我们重庆火锅的招牌，最烦你们这些四川的，个人做的火锅难吃得要死，还来抹黑重庆火锅,1
明天下载激活，后天抢购，收藏起来吧。,0
实不相瞒，我歧视黑人,1
心眼太多。该，活该你睡不着觉。,1
分享最新潮图,0
对于一些人的脸皮我真是佩服。tm的怎么好意思。,1
wqnmb这种ren就是心理阴暗去你妈,1
老师想象力真丰富！这是跪求的姿势么,0
又有美眉进贡辣?能戒烟成功的，都不是人，是神！殷老的习惯好像是：只戒买，不戒抽！,0
#带着微博去旅行##带着微博去金门#运气真好，遇上了金门博饼开幕，好热闹，现场暴多人，每桌都开博啊,0
哈哈哈他们眼里屎都是香的,1
#达人晒奖品#昨晚达人之夜偶用7000多积分换来78张兑换卡得到我想要的玩偶啦可是明明咱是要的两个雷锋浪的怎么全成了小浪,0
#高级定制#VCA钻石4叶草手镯系列...哪个颜色才是你的菜？不过提醒各位涨价魄在眉梢要预订的各位抓紧时间吧...今天好几位已经抓住尾巴啦！纠结的赶快纠结哦......,0
作为失败的典型，你真的是太成功了,1
下次来一定让您尝试一下阿姨的力道,0
这就是这个时候的花湖,0
雾霾是怎样练成的？cao你大爷，诅咒这个厂里人下一代都他妈de没屁眼儿！淄博新闻头条中国环境新闻淄博环保山东环境淄博交通文艺广播山东新闻淄博·张店区,1
可以原味的,0
立flag，jjk的c位多我就再买一张，不多就qnmlgb吧，滚你的区别对待吧，质量不要求和别人一样，至少数量上对齐吧。,1
走到哪都离不开还珠格格我在这里:,0
有请“2013韩国小姐”中国赛区的9位候选人出场我了个去！表情都是一样的。我要置办新衣服鸟?,0
男的真是驴脸大鼻孔，不好看啊,1
同城君打错字了，上面一条请忽略体育，改成体验。,0
和纬一路哪有一拼啊！,0
能不能不要说出来哦？臭名昭著？老吴，名和著还有啥成语别撒娇，“著名”就是你了。,0
沉迷游戏的男人最恶心,1
女人自爱，这球员又哪能随便睡女人呢？,1
也可以帮你挥霍！！！求妹纸挥霍,0
"你长得挺有创意,活得挺游勇气,丑不是你的本意,是上帝在发脾气你老说兄弟姐妹长得帅,有钱,长得是有钱",1
这个我有欧舒丹手霜一直最信赖，吸收快又滋润，MM速度围观,0
所以你妈是属于一个人的小秘还是公交车？,1
我为自己拥有两位这么油菜花的同事而感到由衷的骄傲和自豪~~,0
这小狗吃的什么啊，体格真棒,0
7日游的团走稻城亚丁详情咨询：小罗QQ：2533056233电话：13541059047,0
怎么样,0
最好还是不要打架，不一定能打得过，黑人太野蛮了,1
这是要发呀~,0
是的还可以住宿，可惜想订的日子已经满了。十月下旬会去新千岁机场，据说单机场就可以玩一整天,0
"Welcome,myfoddies!",0
今天茄丁和哥哥在楼下和两只边牧（叫脆壳和甜筒）还有一个金毛玩儿好半天。大家都是8，9个月的宝宝玩儿的可好了！哥哥今天表象不错没欺负大家也玩儿了一会儿。下图能猜到我在干嘛么？,0
你们仔细看，打人的是个老外黑人,1
真tm是个人才，佩服佩服,1
在家的时间，需要经常表现性感的十个瞬间,0
男主角绝对来看你的哈不得水勒！勇敢点儿噢等你过切了男主角就来看望你哈。女主角就在这等到你。话说我们不是早就在一起了吗狂笑,0
丫鬟别给你家腾讯洗了,1
你不知道的谢霆锋~,0
