Sentence,Label
亻尔长的外形不准，比例没打好,1
撞上飞快的火车，像摔下飞驰的骏马，车站和铁道线上，是2B照相的好地方。我感觉终于直抒胸臆了~~,0
快组团,0
如释重负啊！下班了都很开心啊。,0
仙女现状：没理了我要告你性骚扰,1
那是我二舅和二叔辣椒我对你失望了都这是大叔啊,0
"1)dontgotogradschool,eveniftheyofferyoumoney.2)dontstartwatchingonepiece.Itwillonlyfrustrateyou.",0
尖了别说，这个头儿挺像的！我看挺象土拨鼠咬你！真萌,0
侬应该懂额又出啥事拉？？？这个确实我们想你也快疯了，群里天天念着你，你不在的日子有人更狂了嗯，想?子想?了。你回来啦,0
亻尔活着就是污染空气,1
比不上男宝包了90%以上的犯罪率，99.9%的强奸犯罪,1
和亻尔接触的时间越?，我就越喜欢犭句，犭句永远是犭句，?有时候不是?。,1
艸早亻尔女马,1
这里发展不好也跟你个外地人没关系，想赚钱就别来广西，其他大城市有的南宁也基本能满足，南宁虽然不算发达，可城建很落后？不好意思南宁城建排在中国十几名，它作为首府也越来越有大城市的样子了,1
#美食推微博人气餐厅TOP10#【河北地区（2014.0220-0226）排行火爆出炉！】本期等餐厅火热来袭。这个周末挑一家试试吧~每周五发布）,0
三里屯village的bhg真心不错，今天买了大批的奶酪孝敬爹妈，补钙从奶酪开始,0
砖家肯定不靠谱！但您老这数学也忒差了吧？亲，这是正规厂家的烟花，如果是土作坊，山寨的用泥土做的呢？所以不要完全信数据，当然了，砖家的话一定不能信的,0
看看这位啊,0
我已经第11了。快！嗯嗯，很man啊，我蛮喜欢黄宗泽，又能发ci又能man看了~许sir超帅,0
#美的厨房电器让红包飞#活动已经结束，请以下获奖者点击进入话题，将自己的中奖信息在2月24日前，填在活动页面上。亲们，期待我们以后的活动吧！希望能给大家发更多福利~,0
我别怪我发飙\r现在BFHF在外面做和平使者\r我看着就犯恶心\r浩饭出来黑人，浩饭再出来做和事老\r别虚伪！,1
我在崔健和杨坤那笑喷了。高手在民间哪。我在崔健处笑喷。民间埋没了多少高手啊亮点在成龙大哥和王杰,0
有朋友说，来了后，总觉得自家厨房变小了,0
想吃就去某宝找切糕王子呗，都上电视了，价格公道童叟无欺，别遇上坏人就当地域犬。——一个河南人???,1
知道自我是飞机场走路就隐蔽点，别昂首挺胸生怕别人不知道似的,1
我们中国不都是大大方方地歧视黑人嘛。,1
向你学习看过许多这样的人，忙忙碌碌周旋于这个那个之间，带着面具、强颜欢笑着。因为面具，别人也以面具待之；因为虚情，别人也还以虚虚假假。看似热热闹闹，但，静静时，却找不到一个可以倾述衷肠的人。最后想想，何必？！该去去，该留留！,0
哈哈，旁边应该再加上我和P老师。你来瞅瞅！怒江真值得来！！这个很酷吧！,0
你娶了我的前女友，我恋了你的前女友。他们的世界真的很小，这么多年，就这么六七个人。谢谢猪！娱乐圈从来不缺料，只是这次的主角让人有些黯然…谢谢猪提醒我。,0
Cool~,0
"正因因此,科学道理;不单而且,我是恁爹冭看你玉树临风，英俊潇洒，风傥，人见人爱，花见花开",1
亻尔这个犭句杂种还真是死皮赖脸我在亻尔亲妈嘴里拉了稀屎看她气喘盱盱的样子就知道她吃的非常痛快,1
期待我们的书早日面世,0
公司只招男宝也没见你叫唤多招女啊，说白了涉及自身利益你才会来叫唤。都是半斤八两,1
我妈说亻尔这个身体跟残废有什么区别[拜拜],1
这海报上的三个字真的很容易被错看成“草泥马”呀！,0
去亻尔女马的“法律范围之内讲人道”你们开心就好哦,1
有压力，才有动力，哈哈！姿势美是首要的，成绩好绝对是必须的！美女打高尔夫，重要的是姿势，球飞哪里，那是球的事说得好！,0
我爱你妈你妈的遗照笑得真美,1
咱掏心掏肺地shuo吧，你能撑起一青楼,1
胶片？真敢！,0
